date,1,-1,0,pnl_no_fees,signal,pnl,pnl_pct,pnl_no_fees_pct,long_pnl_pct,short_pnl_pct,same_sig
2012-09-12,-1519.550166005911,-5924.23681624261,0,2202.3433251183496,0,0.0,0.0,0.11011716625591748,-0.07597750830029555,-0.2962118408121305,True
2012-10-10,-2664.237843492134,-4779.549138756388,0,1057.6556476321273,0,0.0,0.0,0.05288278238160636,-0.1332118921746067,-0.2389774569378194,True
2012-11-07,-2757.32713827452,-4686.459843974001,0,964.5663528497404,0,0.0,0.0,0.048228317642487015,-0.137866356913726,-0.23432299219870006,True
2012-12-05,-2731.020785535837,-4712.766196712684,0,990.8727055884233,0,0.0,0.0,0.04954363527942116,-0.13655103927679185,-0.2356383098356342,True
2013-01-02,202.8995477485946,-7646.686529997116,0,3924.793038872855,0,0.0,0.0,0.19623965194364276,0.010144977387429732,-0.38233432649985577,True
2013-01-30,-2646.5418283590093,-4797.245153889511,0,1075.3516627652514,0,0.0,0.0,0.05376758313826257,-0.13232709141795046,-0.23986225769447556,True
2013-02-27,-4170.068264547779,-3273.7187177007427,0,-448.1747734235181,0,0.0,0.0,-0.022408738671175907,-0.20850341322738897,-0.16368593588503713,True
2013-03-27,-307.499097120437,-7136.287885128084,0,3414.3943940038234,0,0.0,0.0,0.17071971970019117,-0.01537495485602185,-0.3568143942564042,True
2013-04-24,-1714.4752628398032,-5729.311719408718,0,2007.4182282844572,0,0.0,0.0,0.10037091141422287,-0.08572376314199016,-0.2864655859704359,True
2013-05-22,-960.7073598118027,-6483.079622436719,0,2761.1861313124577,0,0.0,0.0,0.13805930656562287,-0.04803536799059014,-0.32415398112183597,True
2013-06-19,-4507.0899858157345,-2936.696996432787,0,-785.196494691474,0,0.0,0.0,-0.0392598247345737,-0.22535449929078671,-0.14683484982163933,True
2013-07-17,-1000.068588663632,-6443.71839358489,0,2721.8249024606284,0,0.0,0.0,0.13609124512303145,-0.0500034294331816,-0.32218591967924454,True
2013-08-14,-3490.9143593113477,-3952.872622937174,0,230.97913181291318,0,0.0,0.0,0.01154895659064566,-0.17454571796556737,-0.1976436311468587,True
2013-09-11,-2660.384274834922,-4783.402707413599,0,1061.5092162893388,0,0.0,0.0,0.05307546081446694,-0.13301921374174608,-0.23917013537067996,True
2013-10-09,-4877.826843192133,-2565.960139056388,0,-1155.9333520678726,0,0.0,0.0,-0.05779666760339363,-0.24389134215960667,-0.1282980069528194,True
2013-11-06,-757.6666927794249,-6686.120289469096,0,2964.226798344836,0,0.0,0.0,0.1482113399172418,-0.03788333463897125,-0.3343060144734548,True
2013-12-04,-5590.266696787678,-1853.5202854608435,0,-1868.3732056634174,0,0.0,0.0,-0.09341866028317088,-0.2795133348393839,-0.09267601427304217,True
2014-01-01,-1925.8231667247055,-5517.963815523815,0,1796.0703243995554,0,0.0,0.0,0.08980351621997777,-0.09629115833623526,-0.27589819077619077,True
2014-01-29,-721.2960158488177,-6722.490966399704,0,3000.597475275443,0,0.0,0.0,0.15002987376377214,-0.03606480079244088,-0.33612454831998523,True
2014-02-26,-3030.5158533163485,-4413.271128932172,0,691.3776378079122,0,0.0,0.0,0.03456888189039561,-0.15152579266581742,-0.22066355644660862,True
2014-03-26,-3823.8595207582907,-3619.9274614902306,0,-101.96602963403018,0,0.0,0.0,-0.005098301481701509,-0.19119297603791455,-0.18099637307451152,True
2014-04-23,-1916.6409795679388,-5527.146002680582,0,1805.252511556322,0,0.0,0.0,0.0902626255778161,-0.09583204897839694,-0.27635730013402904,True
2014-05-21,-1206.817522518987,-6236.969459729534,0,2515.0759686052734,0,0.0,0.0,0.12575379843026369,-0.06034087612594936,-0.31184847298647667,True
2014-06-18,-4184.619499539543,-3259.1674827089787,0,-462.72600841528185,0,0.0,0.0,-0.023136300420764092,-0.20923097497697712,-0.16295837413544895,True
2014-07-16,-3928.0487773655695,-3515.7382048829513,0,-206.1552862413091,0,0.0,0.0,-0.010307764312065456,-0.19640243886827846,-0.17578691024414755,True
2014-08-13,-2052.6922400195704,-5391.094742228951,0,1669.2012511046903,0,0.0,0.0,0.08346006255523451,-0.10263461200097852,-0.26955473711144756,True
2014-09-10,-3902.1809165856444,-3541.606065662877,0,-180.2874254613837,0,0.0,0.0,-0.009014371273069184,-0.19510904582928223,-0.17708030328314384,True
2014-10-08,-1850.1190794246745,-5593.667902823847,0,1871.774411699586,0,0.0,0.0,0.0935887205849793,-0.09250595397123373,-0.27968339514119234,True
2014-11-05,-3912.502718978015,-3531.284263270506,0,-190.60922785375442,0,0.0,0.0,-0.009530461392687721,-0.19562513594890074,-0.1765642131635253,True
2014-12-03,-6183.73601779501,-1260.0509644535105,0,-2461.8425266707504,0,0.0,0.0,-0.12309212633353753,-0.30918680088975053,-0.06300254822267552,True
2014-12-31,-10633.185700372733,3189.398718124211,0,-6911.292209248472,0,0.0,0.0,-0.3455646104624236,-0.5316592850186366,0.15946993590621053,True
2015-01-28,6048.640195672634,-13492.427177921152,0,9770.533686796894,0,0.0,0.0,0.48852668433984475,0.3024320097836317,-0.6746213588960576,True
2015-02-25,-4759.053910831947,-2684.733071416574,0,-1037.1604197076863,0,0.0,0.0,-0.051858020985384314,-0.23795269554159734,-0.1342366535708287,True
2015-03-25,-4430.492526386679,-3013.294455861842,0,-708.599035262419,0,0.0,0.0,-0.03542995176312094,-0.22152462631933395,-0.15066472279309212,True
2015-04-22,1200.3717533185118,-8644.158735567033,0,4922.265244442772,0,0.0,0.0,0.2461132622221386,0.06001858766592559,-0.4322079367783516,True
2015-05-20,-441.88745921901,-7001.899523029511,0,3280.0060319052504,0,0.0,0.0,0.16400030159526252,-0.022094372960950497,-0.35009497615147556,True
2015-06-17,-3846.969143926317,-3596.817838322205,0,-125.07565280205614,0,0.0,0.0,-0.006253782640102807,-0.19234845719631583,-0.17984089191611025,True
2015-07-15,-661.1787987632583,-6782.608183485263,0,3060.7146923610026,0,0.0,0.0,0.15303573461805015,-0.03305893993816292,-0.3391304091742631,True
2015-08-12,-8355.88783603775,912.1008537892285,0,-4633.99434491349,0,0.0,0.0,-0.23169971724567448,-0.4177943918018875,0.045605042689461424,True
2015-09-09,-1828.3773669780865,-5615.409615270435,0,1893.5161241461742,0,0.0,0.0,0.0946758062073087,-0.09141886834890432,-0.28077048076352173,True
2015-10-07,12222.315751637521,-19666.10273388604,0,15944.20924276178,0,0.0,0.0,0.797210462138089,0.611115787581876,-0.983305136694302,True
2015-11-04,-12144.782016609639,4700.995034361119,0,-8422.88852548538,0,0.0,0.0,-0.42114442627426896,-0.6072391008304819,0.23504975171805595,True
2015-12-02,-11201.454449320576,3757.667467072054,0,-7479.560958196314,0,0.0,0.0,-0.3739780479098157,-0.5600727224660288,0.18788337335360272,True
2015-12-30,-10203.06059294966,2759.2736107011406,0,-6481.167101825401,0,0.0,0.0,-0.32405835509127007,-0.510153029647483,0.13796368053505703,True
2016-01-27,16089.580156818309,-23533.367139066828,0,19811.473647942566,0,0.0,0.0,0.9905736823971283,0.8044790078409154,-1.1766683569533414,True
2016-02-24,-8501.207658062092,1057.4206758135706,0,-4779.314166937831,0,0.0,0.0,-0.23896570834689157,-0.42506038290310466,0.05287103379067853,True
2016-03-23,-7585.331629706545,141.54464745802397,0,-3863.438138582285,0,0.0,0.0,-0.19317190692911426,-0.3792665814853272,0.007077232372901199,True
2016-04-20,10401.586788647743,-17845.37377089626,0,14123.480279772,0,0.0,0.0,0.7061740139886,0.5200793394323872,-0.8922686885448131,True
2016-05-18,-6695.615359852385,-748.1716223961366,0,-2973.7218687281243,0,0.0,0.0,-0.14868609343640624,-0.33478076799261924,-0.037408581119806834,True
2016-06-15,11038.36507244232,-18482.15205469084,0,14760.258563566582,0,0.0,0.0,0.7380129281783291,0.5519182536221161,-0.924107602734542,True
2016-07-13,719.44817322484,-8163.235155473361,0,4441.341664349099,0,0.0,0.0,0.22206708321745497,0.035972408661242,-0.40816175777366803,True
2016-08-10,-4172.904100209917,-3270.8828820386047,0,-451.01060908565586,0,0.0,0.0,-0.022550530454282795,-0.20864520501049583,-0.16354414410193022,True
2016-09-07,-2502.946806607832,-4940.840175640689,0,1218.9466845164284,0,0.0,0.0,0.060947334225821416,-0.1251473403303916,-0.24704200878203444,True
2016-10-05,-6425.268424322667,-1018.5185579258537,0,-2703.374933198407,0,0.0,0.0,-0.13516874665992035,-0.3212634212161333,-0.05092592789629268,True
2016-11-02,1658.8812828641585,-9102.66826511268,0,5380.774773988419,0,0.0,0.0,0.26903873869942097,0.08294406414320793,-0.45513341325563395,True
